timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
0.01266718,0.04824689,1.089278,-0.203144,0.9959495,-0.01542994,-0.03795785,-0.08003581,-0.1762663,1.035697,0.1588529,0.9497222,-0.1001303,-0.2859586,0.07892712,0.1325444,0.6451897,0.09437209,0.9721169,0.1445664,-0.1496258,-0.1081724
0.03266716,0.04971308,1.089104,-0.2028403,0.9958262,-0.01503557,-0.03455202,-0.08312754,-0.1910868,1.018316,0.1597459,0.9499726,-0.08626585,-0.2930837,0.06490187,0.1325599,0.6452194,0.09440039,0.9720821,0.1446087,-0.1497755,-0.1082226
0.05266714,0.05049375,1.088905,-0.20268,0.9957353,-0.01511265,-0.03334705,-0.08467991,-0.1979769,1.010301,0.1607961,0.9496854,-0.07764274,-0.2977246,0.05856059,0.1325565,0.6452317,0.09440402,0.9720742,0.1446342,-0.1498011,-0.1082243
0.07266712,0.05199106,1.088613,-0.2023467,0.9955321,-0.01442873,-0.02932629,-0.08858674,-0.2143895,0.9909193,0.1597378,0.94684,-0.05799366,-0.3120858,0.05228002,0.1324909,0.6452253,0.09448027,0.972013,0.1449973,-0.1498493,-0.1082208
0.0926671,0.05271181,1.088472,-0.2022084,0.9954317,-0.01422643,-0.02782141,-0.09021775,-0.2215227,0.982659,0.1604016,0.945851,-0.0491925,-0.3172897,0.04767811,0.1324909,0.6452253,0.09448027,0.972013,0.1449973,-0.1498493,-0.1082208
0.1126671,0.05411635,1.088059,-0.2021029,0.9951749,-0.01421989,-0.02440982,-0.09396167,-0.2364303,0.9643185,0.1603148,0.9444214,-0.03122867,-0.3233482,0.05038869,0.1324739,0.6452153,0.09450002,0.972002,0.145066,-0.1498448,-0.1082334
0.1326671,0.05490452,1.087946,-0.201822,0.9950299,-0.01381299,-0.02277719,-0.09594775,-0.2437681,0.9550896,0.1601727,0.9432608,-0.02261166,-0.3274091,0.05050844,0.1324448,0.6452035,0.09453381,0.9719844,0.145183,-0.1498571,-0.1082181
0.152667,0.0555734,1.087942,-0.2014872,0.9947947,-0.01353348,-0.02016126,-0.0989642,-0.2506763,0.9437515,0.1585966,0.9418001,-0.01025363,-0.3316494,0.05400111,0.1324154,0.6452465,0.09457587,0.9719769,0.1453317,-0.1497968,-0.1081686
0.1726675,0.0567148,1.087464,-0.2012329,0.9943199,-0.01451432,-0.01504911,-0.104359,-0.2643148,0.9242485,0.1583376,0.9399249,0.01855894,-0.3374605,0.04813832,0.1323967,0.6452871,0.0946025,0.9719783,0.1454113,-0.1497177,-0.1081588
0.1926675,0.0574319,1.087415,-0.2009182,0.9939294,-0.01535639,-0.01207632,-0.1082721,-0.2693572,0.9132487,0.1579415,0.9406174,0.04553773,-0.3343744,0.03686494,0.1323432,0.6453491,0.09465294,0.971993,0.1454532,-0.1495591,-0.1081899
0.2126675,0.05777445,1.086516,-0.2019635,0.9939639,-0.01190922,-0.008350267,-0.1087395,-0.2775778,0.8973764,0.1484653,0.9327581,0.04981984,-0.356574,0.01831061,0.1319098,0.6454378,0.09484474,0.9720808,0.1457227,-0.1492007,-0.1075311
0.2326674,0.05813611,1.086421,-0.2017879,0.9937858,-0.01281049,-0.005404801,-0.110438,-0.2812875,0.8910261,0.1454082,0.934226,0.05420738,-0.352465,0.007191919,0.1316546,0.6454834,0.09492556,0.9721575,0.1459522,-0.1488488,-0.1070135
0.2526674,0.05852006,1.086262,-0.2020155,0.9934517,-0.01232865,-0.001333288,-0.1135778,-0.2911782,0.8785155,0.1412211,0.9273846,0.07518601,-0.3664749,-0.001040075,0.1313393,0.6455179,0.09489307,0.9723155,0.1458767,-0.1485259,-0.1061249
0.2726674,0.05861047,1.086059,-0.2021897,0.9933672,-0.01210281,0.000709647,-0.1143449,-0.2966706,0.8714215,0.139311,0.9242396,0.08308978,-0.3726396,-0.004121985,0.1313133,0.6455181,0.09488074,0.972333,0.1458519,-0.1484967,-0.1060409
0.2926674,0.05870919,1.085749,-0.2024726,0.993128,-0.01163376,0.003616618,-0.1163977,-0.3067956,0.8618504,0.1346582,0.9192297,0.09053296,-0.3831349,0.005315774,0.1311804,0.6455326,0.09480508,0.9724338,0.1457385,-0.1482576,-0.1056055
0.3126674,0.05846055,1.085899,-0.2025108,0.9931588,-0.01219625,0.004442241,-0.1160477,-0.3106862,0.8613684,0.1335324,0.9171184,0.09596822,-0.3862127,0.02288511,0.1310677,0.6455655,0.09472974,0.972482,0.1457172,-0.1480559,-0.1054739
0.3326674,0.05802407,1.085866,-0.202708,0.9933673,-0.0119691,0.001797307,-0.1143459,-0.3078309,0.8670769,0.134993,0.9121342,0.08404915,-0.400645,0.02075132,0.1307992,0.6455621,0.09466648,0.9725069,0.1458899,-0.1478169,-0.1053405
0.3526673,0.05719791,1.085846,-0.2031919,0.9934216,-0.0112931,0.001279749,-0.1139487,-0.3077037,0.8652254,0.1353867,0.9101667,0.07867427,-0.4063607,0.01667313,0.130634,0.6456275,0.09453061,0.9725161,0.1459732,-0.1477298,-0.1052622
