timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
0.01764297,-0.07063769,1.103487,0.03905571,0.9953603,0.02182403,0.09368876,0.001986189,-0.2468573,0.8311442,0.3695202,0.9014037,0.04084821,-0.02105396,0.4305341,-0.05761937,1.029144,0.373833,0.9584937,-0.2808892,0.03067528,-0.03808144
0.03764343,-0.07066392,1.103477,0.03917069,0.9953708,0.02176284,0.09359204,0.001970005,-0.2468555,0.8311362,0.3695706,0.9013842,0.04095935,-0.02106463,0.4305638,-0.05746578,1.026809,0.374341,0.959439,-0.2777102,0.02663724,-0.04054842
0.05764389,-0.07067274,1.103418,0.03945623,0.9953145,0.02246675,0.09401741,0.002267507,-0.2467737,0.8312365,0.3695654,0.9014003,0.04104741,-0.02088032,0.4305307,-0.05623532,1.02164,0.3754995,0.9608247,-0.2725631,0.02396106,-0.04417255
0.07764053,-0.07072358,1.103377,0.03963463,0.9952954,0.02253424,0.09419908,0.002412519,-0.2467533,0.8312648,0.3695625,0.9014041,0.04102116,-0.02078493,0.4305297,-0.0561438,1.019641,0.3759735,0.9613496,-0.2709502,0.0228866,-0.04323449
0.09764099,-0.0707508,1.103377,0.0395765,0.9952178,0.02269596,0.09495942,0.003033497,-0.2466345,0.831448,0.3695587,0.9015144,0.04077562,-0.02026186,0.4303472,-0.05278682,1.011641,0.3774883,0.9636893,-0.2623774,0.02095897,-0.04496481
0.1176414,-0.07094711,1.103367,0.03960563,0.9951886,0.02251816,0.09529714,0.003326837,-0.2466233,0.8314964,0.3695742,0.9015452,0.04057458,-0.02003366,0.4303124,-0.05098812,1.006059,0.3794297,0.9680554,-0.2476545,0.02437074,-0.03069476
0.1376419,-0.07113598,1.103338,0.03965063,0.9952009,0.02240898,0.09518562,0.003570938,-0.2466295,0.8315488,0.3695661,0.9015283,0.04035859,-0.01982116,0.4303779,-0.04874839,1.001038,0.3799888,0.9684261,-0.2469223,0.01161426,-0.03233221
0.1576424,-0.07181592,1.10317,0.03956131,0.9952674,0.02222824,0.09450243,0.004245135,-0.2467153,0.8317364,0.3694339,0.901041,0.04011779,-0.01915251,0.4314498,-0.04341897,0.9890472,0.3817468,0.9687819,-0.2457248,0.03010359,-0.01321412
0.1776428,-0.07220933,1.10311,0.03954492,0.9953266,0.02200448,0.09390152,0.004830055,-0.246784,0.8317418,0.3694343,0.9010729,0.03990959,-0.01925115,0.431398,-0.0403927,0.9834593,0.3836348,0.9703301,-0.2394402,0.03192986,-0.01041774
0.1976433,-0.07317343,1.102872,0.03960124,0.9954998,0.02153767,0.09205545,0.006481117,-0.2470223,0.8318221,0.369411,0.900835,0.03938562,-0.01939374,0.4319364,-0.03253823,0.9721377,0.3888054,0.9748188,-0.2195799,0.03771098,-0.009534705
0.2176437,-0.07350759,1.102649,0.03958651,0.9955696,0.02141349,0.09131281,0.006683812,-0.2470566,0.831872,0.3693864,0.9006886,0.03936091,-0.01921701,0.4322516,-0.02852212,0.9667364,0.3910944,0.9767224,-0.2100956,0.04246375,-0.008374601
0.2376404,-0.074235,1.102305,0.03956469,0.9956639,0.02216298,0.09005161,0.007267644,-0.2470694,0.8319452,0.3693275,0.9005648,0.03918901,-0.01891342,0.4325385,-0.01933997,0.9560857,0.3960062,0.980548,-0.1890256,0.05252686,-0.005993894
0.2576408,-0.07452869,1.102072,0.03963095,0.9957463,0.02219191,0.08910571,0.007546115,-0.2470632,0.831955,0.3693159,0.9005545,0.03918222,-0.0188584,0.4325628,-0.01505448,0.9509536,0.3982478,0.9820827,-0.1794911,0.0572656,-0.004138931
0.2776413,-0.07487398,1.102168,0.039759,0.9958175,0.0226537,0.08807594,0.008775384,-0.2470542,0.8318771,0.3692762,0.900376,0.03931078,-0.01844631,0.4329406,-0.006440671,0.9468516,0.4015705,0.9834292,-0.1667199,0.07087496,-0.006943936
0.2976418,-0.07518842,1.102122,0.03984179,0.9958825,0.0238576,0.0868952,0.009913855,-0.246213,0.8318269,0.3692279,0.9011407,0.03972939,-0.01726875,0.431357,0.009112698,0.9433799,0.4057941,0.9833173,-0.1552895,0.09393587,-0.01218234
0.3176422,-0.07534662,1.102085,0.03988577,0.9958794,0.02439486,0.08671603,0.01047044,-0.2457272,0.8317459,0.3692223,0.9011482,0.04046972,-0.01594011,0.4313236,0.01558151,0.9416633,0.4076013,0.9832441,-0.1485298,0.105037,-0.01171024
