timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
0.01006317,-0.06273104,1.127601,0.03020123,0.9986259,-0.04190845,0.02734511,-0.0155675,-0.1716327,0.8275038,0.342362,0.9820624,-0.04636372,-0.1473523,0.1081257,-0.03788786,1.142556,0.3016062,0.9422272,-0.325058,-0.03673605,-0.07208123
0.03006315,-0.06268468,1.127784,0.02993985,0.9985911,-0.04251915,0.02767546,-0.01556086,-0.1718096,0.8274961,0.3424911,0.9819619,-0.04594091,-0.1478046,0.1086003,-0.03756032,1.140981,0.3019,0.9412715,-0.3267349,-0.04107568,-0.07460022
0.05006313,-0.06263064,1.127855,0.02977051,0.9985837,-0.04257004,0.02756707,-0.01607244,-0.1718461,0.8274876,0.3425155,0.9819425,-0.04591752,-0.1478837,0.1086784,-0.03750093,1.139921,0.3024744,0.9418253,-0.3251042,-0.04132769,-0.07459529
0.07006311,-0.0625601,1.128025,0.02940166,0.9985572,-0.04304149,0.02790635,-0.01588403,-0.1719345,0.8275205,0.3424918,0.9818767,-0.04590321,-0.1479826,0.1091432,-0.0378925,1.134654,0.3056182,0.9453917,-0.3154249,-0.04081828,-0.0712427
0.0900631,-0.06251708,1.128088,0.02928491,0.9985287,-0.0435817,0.02799281,-0.01604513,-0.17194,0.8275415,0.3424647,0.9818626,-0.04588914,-0.1480176,0.1092281,-0.03796537,1.132742,0.3066273,0.9462421,-0.3123595,-0.04336489,-0.07195101
0.1100631,-0.06248702,1.128234,0.02920058,0.9985092,-0.04377664,0.02846927,-0.01589019,-0.1719538,0.8275443,0.3424737,0.9818503,-0.04588262,-0.1480512,0.1092955,-0.03796648,1.129763,0.3081425,0.9479812,-0.3062604,-0.04542572,-0.07397852
0.1300631,-0.0624067,1.128462,0.02900922,0.9984529,-0.04447673,0.02925399,-0.0160592,-0.1719782,0.8275313,0.3425188,0.981836,-0.04587368,-0.1480994,0.1093627,-0.03805368,1.123384,0.3112829,0.9515182,-0.2943587,-0.04554988,-0.07675485
0.150063,-0.06240002,1.128514,0.02882487,0.9984468,-0.04442504,0.02979329,-0.01558975,-0.1719939,0.827568,0.3425009,0.9818131,-0.04585198,-0.148085,0.1095976,-0.03832038,1.117904,0.313382,0.9542589,-0.2855547,-0.04486119,-0.07639291
0.170063,-0.06234042,1.128571,0.02832467,0.9984451,-0.04328504,0.0313964,-0.01575085,-0.1720555,0.8276322,0.3425004,0.98177,-0.04588935,-0.1481277,0.1099091,-0.03899537,1.103758,0.317033,0.9591064,-0.2678728,-0.04851044,-0.0774968
0.190063,-0.06230744,1.128588,0.0280543,0.9984388,-0.04267632,0.03240442,-0.01576978,-0.1720948,0.8276531,0.3425169,0.9817474,-0.04591773,-0.1481973,0.1100049,-0.03929303,1.096768,0.3186648,0.9615536,-0.2587539,-0.05025354,-0.07704265
