timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
0.01494598,0.01642024,1.094121,-0.2032779,0.9696272,-0.01580628,0.2439745,-0.007048815,-0.199445,0.7868846,0.1959525,0.9291847,0.09921558,-0.1493846,0.323197,0.2299685,1.003386,0.06284954,0.8703508,-0.3389501,0.3504637,0.06912009
0.03495026,0.01641076,1.0938,-0.2036083,0.9697511,-0.01476616,0.243521,-0.007899415,-0.1994347,0.7868469,0.1960004,0.9292386,0.09930226,-0.1495339,0.3229463,0.2295384,1.000904,0.06406952,0.8766463,-0.3328789,0.3409811,0.06644403
0.0549469,0.01657301,1.093427,-0.204429,0.9699482,-0.01400774,0.2427321,-0.00923815,-0.199375,0.7866188,0.1961979,0.9288858,0.1012076,-0.1505928,0.3228776,0.2295462,0.9966284,0.06510177,0.8805499,-0.3258544,0.3389417,0.05974368
0.07495117,0.01666591,1.093163,-0.2048116,0.9700866,-0.01375769,0.2421821,-0.009513497,-0.1993756,0.7865399,0.1962766,0.9286985,0.10195,-0.1512245,0.3228877,0.2295984,0.9950263,0.06536485,0.8790269,-0.3256422,0.3430134,0.06008794
0.09494781,0.0165952,1.093005,-0.2051391,0.970134,-0.01333053,0.2419986,-0.00994818,-0.1994602,0.7863767,0.1964735,0.9284555,0.1028574,-0.1517657,0.323045,0.2294596,0.9933691,0.06502545,0.8758135,-0.3283285,0.3480717,0.06322258
0.1149445,0.01681563,1.093071,-0.2055771,0.9704212,-0.01272894,0.2408785,-0.009912731,-0.1995981,0.7862567,0.1965111,0.927781,0.1039306,-0.1527522,0.3241723,0.2289214,0.99083,0.06523807,0.8760221,-0.3279694,0.3474535,0.06555423
0.1349487,0.01695751,1.093118,-0.2057829,0.9705558,-0.01269083,0.2403389,-0.009875994,-0.199609,0.7863006,0.1964233,0.9276489,0.1038791,-0.1529991,0.3244502,0.2285476,0.9894182,0.06661517,0.878652,-0.3160472,0.3511366,0.06919561
0.1549454,0.01730328,1.093176,-0.2063779,0.9707442,-0.01378136,0.2395089,-0.01006718,-0.1997276,0.7862631,0.1963742,0.9271813,0.1040956,-0.1539117,0.3252849,0.2279923,0.9859301,0.06798346,0.8937601,-0.3017002,0.328379,0.04834281
0.1749496,0.01721153,1.093006,-0.2067616,0.9708175,-0.01386005,0.2392059,-0.01009037,-0.19975,0.7862478,0.1963835,0.9271165,0.1040909,-0.1540586,0.3254015,0.2271238,0.9842646,0.06914634,0.8987002,-0.2933763,0.3225571,0.04717318
0.1949463,0.01769527,1.093309,-0.2071271,0.9710467,-0.01510719,0.238127,-0.01164869,-0.1997268,0.7863873,0.196106,0.9267957,0.1038105,-0.1548988,0.3260052,0.222253,0.9802441,0.07057624,0.9002893,-0.289995,0.3207929,0.04973977
