timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
0.01860809,0.04375025,1.141703,-0.09831061,0.9980791,0.03705186,0.04548503,-0.01991099,-0.1488795,0.798333,0.2015449,0.9392499,0.05042615,0.0158519,0.3391393,0.06146405,0.9266143,0.181962,0.9869908,-0.08055641,-0.08137417,-0.1128633
0.03861237,0.04380906,1.141936,-0.09848997,0.9981118,0.03671948,0.04508339,-0.01979696,-0.1516615,0.7994984,0.201246,0.9423798,0.04028295,0.002024915,0.3321048,0.06272501,0.9270173,0.1817353,0.9881501,-0.08148914,-0.07901796,-0.10332
0.05860901,0.04412399,1.142258,-0.09867571,0.9981568,0.03551506,0.04474652,-0.02047902,-0.162441,0.805382,0.2008417,0.9434581,0.02783066,-0.05165482,0.3262575,0.06840415,0.9260872,0.1804432,0.9869871,-0.08374433,-0.08461211,-0.1080931
0.07860565,0.04422098,1.142437,-0.09883217,0.9981776,0.0350131,0.04467944,-0.02047567,-0.1646404,0.806714,0.20067,0.9447733,0.02292177,-0.06210712,0.3209685,0.06840415,0.9260872,0.1804432,0.9869871,-0.08374433,-0.08461211,-0.1080931
0.09860992,0.04454789,1.142686,-0.099068,0.9981893,0.03416875,0.04503337,-0.02055916,-0.1694149,0.8110459,0.2002118,0.9431826,0.0211446,-0.0741509,0.3232045,0.07481444,0.9251353,0.1805268,0.9901519,-0.07963217,-0.0707717,-0.09082543
0.1186066,0.04465747,1.142856,-0.09921597,0.9982054,0.03369007,0.0450331,-0.02056727,-0.1716589,0.8125816,0.2000248,0.9437757,0.01720432,-0.08350641,0.319403,0.07497174,0.9251144,0.1805188,0.990199,-0.07957496,-0.0705856,-0.09050722
0.1386108,0.04499076,1.14282,-0.09926174,0.9981398,0.03376893,0.04602907,-0.02140072,-0.1738086,0.8184289,0.1989516,0.9359173,0.01716619,-0.07176261,0.3444043,0.08130593,0.9236966,0.1816389,0.9915621,-0.07627797,-0.05853825,-0.08694588
0.1586075,0.0451569,1.142638,-0.09958309,0.9979814,0.03599047,0.04750991,-0.02192507,-0.1714552,0.8350238,0.1953068,0.9234076,-0.001604175,-0.03945318,0.3817845,0.09912292,0.9213297,0.1829419,0.9908549,-0.08133923,-0.03891554,-0.1003804
0.1786118,0.04505816,1.142601,-0.09984076,0.9979542,0.03644938,0.04771833,-0.02195293,-0.1687174,0.8409016,0.1949775,0.9244621,-0.007215458,-0.0318101,0.3798761,0.1074898,0.9200462,0.1839715,0.9915859,-0.07983791,-0.03111523,-0.09703148
0.1986084,0.04451835,1.142616,-0.1004733,0.9980611,0.03682427,0.04577579,-0.02056135,-0.1507827,0.8533898,0.1976224,0.9391595,-0.007385067,-0.01321868,0.3431474,0.1320356,0.9182433,0.1877871,0.9930133,-0.07921235,0.01492116,-0.08618189
0.2186127,0.04447691,1.142642,-0.1007127,0.9980793,0.03666108,0.04560906,-0.02033544,-0.148421,0.8578077,0.1976132,0.9405177,-0.01055769,-0.01028448,0.3394248,0.1388501,0.9175884,0.1886037,0.9929613,-0.0786342,0.02627818,-0.08458158
0.2386093,0.04419916,1.142614,-0.1014013,0.9982384,0.03667714,0.04284694,-0.01841109,-0.1368477,0.8673276,0.1986363,0.9448259,-0.01253015,0.00669235,0.3272649,0.1592175,0.9163588,0.1912068,0.991529,-0.0714252,0.0577735,-0.09182004
0.258606,0.04403443,1.142566,-0.1018049,0.9982837,0.0365772,0.04192865,-0.01826731,-0.1296206,0.8718544,0.1995493,0.9459172,-0.01214704,0.0181505,0.3236722,0.1710437,0.9159812,0.1925711,0.9905643,-0.06400749,0.06971159,-0.09912428
0.2786102,0.04397445,1.1424,-0.1033442,0.9983526,0.03598829,0.04083202,-0.01815627,-0.1037467,0.8791786,0.2037165,0.9471958,-0.0004367435,0.04692768,0.317203,0.2048724,0.9179001,0.1900138,0.9870919,-0.05656907,0.1083198,-0.1035201
0.2986069,0.04424758,1.142458,-0.1040134,0.9982759,0.03606267,0.04276517,-0.01777237,-0.09034783,0.8818763,0.2053862,0.9495478,0.004743179,0.0598281,0.3078263,0.2212255,0.9189842,0.1858162,0.985576,-0.05492259,0.1356497,-0.08498556
0.3186111,0.04426705,1.142498,-0.1044331,0.9982797,0.03588713,0.04297416,-0.01740748,-0.08286269,0.8856818,0.2060044,0.9504393,0.00494452,0.06889295,0.3031412,0.2325258,0.9190709,0.184935,0.9836224,-0.05230848,0.1525989,-0.0804024
0.3386078,0.04460754,1.142933,-0.1052162,0.9982929,0.03497194,0.04397586,-0.01594844,-0.06182244,0.8917591,0.2062117,0.9507126,0.009241851,0.1020842,0.2926416,0.2597544,0.9197536,0.1798711,0.9762453,-0.04275602,0.2001049,-0.07123905
0.3586121,0.04468554,1.143077,-0.1058477,0.9982666,0.03455127,0.04467602,-0.01655605,-0.04744246,0.8921787,0.205009,0.9484106,0.01857592,0.1254936,0.2905576,0.2756194,0.9200584,0.1739336,0.9699638,-0.03556744,0.2257009,-0.08345179
0.3786087,0.04524314,1.143279,-0.1068553,0.9982501,0.03355101,0.04585262,-0.01639139,-0.02703478,0.8946936,0.2041453,0.9466012,0.03216838,0.1534559,0.2817141,0.2993535,0.9183221,0.1668458,0.9627353,-0.01831655,0.2575659,-0.08040561
0.3986053,0.04539286,1.143396,-0.10734,0.9982486,0.03326157,0.046165,-0.01619036,-0.01811338,0.897507,0.2041288,0.9458142,0.03519477,0.1654719,0.2771569,0.3111851,0.9181024,0.1648261,0.9581698,-0.01349002,0.2747121,-0.07913265
0.4186096,0.04597917,1.143706,-0.1082142,0.9981892,0.03219339,0.04863425,-0.01472362,0.00234727,0.8970664,0.1992956,0.950321,0.03773572,0.1846834,0.247706,0.3287055,0.9172083,0.1563839,0.9495042,-0.01421933,0.3022379,-0.08301719
0.4386063,0.04667151,1.143507,-0.1088654,0.9981436,0.03185175,0.05009548,-0.01361709,0.007699355,0.8960095,0.197447,0.9523796,0.03241207,0.1875414,0.2382242,0.3309433,0.9175761,0.1527869,0.9470133,-0.02216722,0.3060998,-0.09474851
0.4586105,0.04753705,1.143564,-0.1101672,0.9979821,0.03258125,0.0530013,-0.01268838,0.01686671,0.8961439,0.1958687,0.944887,0.0444965,0.2045751,0.2517093,0.3363144,0.917407,0.1484597,0.9419566,-0.02292607,0.3184678,-0.103781
0.4786072,0.04807398,1.143549,-0.1107828,0.9979447,0.03198117,0.05413257,-0.01237843,0.01688968,0.8955573,0.1958372,0.9419493,0.05200752,0.2028377,0.262457,0.3302696,0.9172739,0.1493695,0.9480907,-0.01845818,0.3048942,-0.088447
0.4986115,0.04864063,1.143553,-0.111502,0.9978976,0.03146449,0.0553367,-0.01217148,0.01728479,0.8960445,0.1954348,0.9448456,0.04615217,0.1984582,0.2564198,0.3230762,0.9179299,0.1506276,0.9527156,-0.01711109,0.2933103,-0.07751956
0.5186081,0.04964013,1.143966,-0.1125515,0.9978138,0.03087506,0.05707412,-0.01253322,0.02001728,0.8978545,0.1942474,0.9469082,0.03971732,0.19878,0.2495474,0.3138636,0.9203604,0.1514154,0.9582052,-0.02070657,0.275816,-0.07307252
0.5386124,0.05007259,1.144079,-0.1131462,0.9977787,0.03029706,0.05797821,-0.01258743,0.02357581,0.8987704,0.193589,0.946735,0.03977776,0.2025212,0.2471754,0.3136916,0.9209177,0.1508572,0.958765,-0.02047838,0.2744954,-0.07072946
